Removed Pin From Net: NetName=NetC1_1 Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C1-2
Removed Pin From Net: NetName=GND Pin=R1-2
Removed Pin From Net: NetName=3V3 Pin=R2-1
Removed Pin From Net: NetName=NetJ2_1 Pin=U3-4
Removed Pin From Net: NetName=NetJ3_1 Pin=U4-3
Change Component Footprint: Designator=C1 Old Footprint=FP-CL21-IPC_C New Footprint=TAYO-JMK212BBJ476MG-T_L
Change Component Comment : Designator=C1 Old Comment=0.1uF New Comment=47uF
Change Component Comment : Designator=R1 Old Comment=12K ohm New Comment=149K ohm
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AF075B6C-78C7-43F5-AEFF-B9A5F245B14B New ItemGUID=3C21829E-3CF1-40D3-B0D7-C753B491E230 Old RevisionGUID=F3515D41-3C1B-4C6D-A655-7EC8E1079EEE New RevisionGUID=B70D2C3B-0811-406A-85EA-58411BE30F57
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-CL21-IPC_C"; UniqueID = "\CJZXBWPG" ("\CJZXBWPG")
Change component parameters (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "47µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "xMKSeries_0805_1.25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/JMK212BJ476MG-T-Taiyo-Yuden-datasheet-62109412.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "10/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kits"; Value = "587-1797-KIT-ND-KITCAPCERHICAP0603&0805S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.t-yuden.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount,MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "MSeries"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C~85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "587-1779-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin SMD, Body 2.2 x 1.45 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "CutTape(CT)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCN Part Number"; Value = "X5R,X7RDielectrics23/Jan/2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
